key,ticker,company,year,sector,digital,digital_msu,all_body_mentions_company,all_title_mentions_company,log_assets,roa,debt_to_assets,revenue_growth,cash_to_assets,capex_to_assets,total_assets,revenue,capex,debt
FEES_2022,FEES,Россети / ФСК ЕЭС,2022,Energy,0.0063659474336617,0.0072273462613189,0,0,28.8222125859,0.0382862351869,0.196475235491,0.166666666667,0.0598602248557,0.142418717715,3291000000000,1379000000000,468700000000,646600000000
FEES_2023,FEES,Россети / ФСК ЕЭС,2023,Energy,0.0070850367281789,0.0081274329364626,17,1,28.868235254,-0.0433836331979,0.215264074289,0.0920957215373,0.0677016831109,0.160679048172,3446000000000,1506000000000,553700000000,741800000000
FEES_2024,FEES,Россети / ФСК ЕЭС,2024,Energy,0.0076116557734204,0.0085443899782135,58,0,28.9991515064,0.0359979633401,0.211201629328,0.217795484728,0.0793788187373,0.152367617108,3928000000000,1834000000000,598500000000,829600000000
FESH_2020,FESH,ДВМП / FESCO,2020,Industrials,0.00405757897787653,0.00292242295430393,0,0,24.7251295464,0.147,5.79524680073e-9,0.0970017636684,0.0756855575868,0.0566727605119,54700000000,62200000000,3100000000,317
FESH_2021,FESH,ДВМП / FESCO,2021,Industrials,0.00388867149285854,0.00249461944824888,0,0,25.5074186785,0.311872909699,0.259197324415,0.8279742765273312,0.0928093645485,0.19983277592,119600000000,113700000000,23900000000,31000000000
FESH_2022,FESH,ДВМП / FESCO,2022,Industrials,0.0060755534167468,0.0088426371511068,1,1,25.8370592231,0.232110643416,0.184004810583,0.430079155673,0.184606133494,0.219482862297,166300000000,162600000000,36500000000,30600000000
FESH_2023,FESH,ДВМП / FESCO,2023,Industrials,0.0042720938760542,0.0058672533920058,14,2,26.0737011578,0.178927384907,0.125771238728,0.0578105781058,0.0220218319886,0.281442809682,210700000000,172000000000,59300000000,26500000000
FESH_2024,FESH,ДВМП / FESCO,2024,Industrials,0.0048218174276727,0.0069648473955272,0,0,26.3526838963,0.0962298025135,0.116696588869,0.0755813953488,0.0728904847397,0.0754039497307,278500000000,185000000000,21000000000,32500000000
FIVE_2020,FIVE,X5 Retail Group,2020,Retail,0.00336979994779183,0.00263413939580911,4,1,27.7905856856,0.031,2.23358908781e-10,0.140715109573,0.0170502983802,0.0766410912191,1173000000000,1978000000000,89900000000,262
FIVE_2021,FIVE,X5 Retail Group,2021,Retail,0.0073377710304021,0.0097804507765969,3,0,27.8833350445,0.035,2.28671328671e-9,0.114762386249,0.020979020979,0.0760683760684,1287000000000,2205000000000,97900000000,2943
FIVE_2022,FIVE,X5 Retail Group,2022,Retail,0.0058326525124874,0.00816985015047,10,3,27.9326060935,0.039,1.73446745562e-9,0.181405895692,0.0319526627219,0.0603550295858,1352000000000,2605000000000,81600000000,2345
FIVE_2023,FIVE,X5 Retail Group,2023,Retail,0.0053089731834595,0.0068371424366941,28,7,28.0903428968,0.057,1.44156664561e-9,0.207677543186,0.0257738471257,0.0937460518004,1583000000000,3146000000000,148400000000,2282
FIVE_2024,FIVE,X5 Retail Group,2024,Retail,0.0051883619239825,0.0071476622939791,13,3,28.2424157946,0.06,1.56646771568e-9,0.242212333121,0.141399891481,0.0852957135106,1843000000000,3908000000000,157200000000,2887
FLOT_2020,FLOT,Совкомфлот,2020,Industrials,0.0031902166688821,0.00279143958527183,7,2,27.0724048283,0.038,3.06468531469e-9,0.181929181929,4.72027972028e-11,1.5034965035e-10,572000000000,96800000000,86,1753
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
FLOT_2023,FLOT,Совкомфлот,2023,Industrials,0.0042686537702329,0.0052062771417291,20,7,27.1656467551,0.13298295907,0.212772734512,0.757360406091,0.178690874343,0.0823379519032,627900000000,173100000000,51700000000,133600000000
FLOT_2024,FLOT,Совкомфлот,2024,Industrials,0.0041291032964007,0.0051155001949854,7,3,27.2449173613,0.0679711637487,0.199352655583,-0.182553437319,0.197881418273,0.0286891275563,679700000000,141500000000,19500000000,135500000000
GAZP_2020,GAZP,Газпром,2020,Oil & Gas,0.00538201772899958,0.00253271422541157,23,4,30.7817037495,0.006,2.10131894484e-10,-0.174696435566,0.0443216855087,0.0651764302843,23352000000000,6321000000000,1522000000000,4907
GAZP_2021,GAZP,Газпром,2021,Oil & Gas,0.00485981308411215,0.00224299065420561,38,3,30.9285972093,0.0773838133619,0.180574555404,0.6202,0.0744629718638,0.0715051576885,27047000000000,10241000000000,1934000000000,4884000000000
GAZP_2022,GAZP,Газпром,2022,Oil & Gas,0.0044438240152625,0.0057467252972243,27,4,30.8940669245,0.0469210455815,0.19388418998,0.139927741432,0.0443185732328,0.0838914615944,26129000000000,11674000000000,2192000000000,5066000000000
GAZP_2023,GAZP,Газпром,2023,Oil & Gas,0.0049100199955565,0.006198622528327,51,11,30.9884059246,0.0252141812356,0.231838127743,-0.268288504369,0.0557915999164,0.0949710942397,28714000000000,8542000000000,2727000000000,6657000000000
